#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:all_aligned_unique" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:all_aligned_unique" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:all_aligned_unique" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.all_aligned_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:all_aligned_unique" name="distribution" x="@birthRate.t:all_aligned_unique">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@all_aligned_unique" id="treeLikelihood.all_aligned_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:all_aligned_unique">
#            <siteModel id="SiteModel.s:all_aligned_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:all_aligned_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:all_aligned_unique" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:all_aligned_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:all_aligned_unique" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:all_aligned_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:all_aligned_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
72000	-3089043.09949416	-3093577.6966238036	4534.59712964352	-3093577.6966238036	0.21938255497047313	37.201915290460484	4534.59712964352	42.72077451571091
73000	-3058981.783973315	-3063546.0373961283	4564.253422813641	-3063546.0373961283	0.2132738848803159	36.52945818820011	4564.253422813641	43.41200752082124
74000	-3022667.1965499725	-3027227.3249097075	4560.128359735057	-3027227.3249097075	0.20902989981202932	36.564760171691006	4560.128359735057	47.452819502604974
75000	-2982551.1912965328	-2987149.60427269	4598.412976157316	-2987149.60427269	0.20651611948261178	35.77448054169294	4598.412976157316	44.42777435086047
76000	-2955072.647584956	-2959683.0183925536	4610.370807597393	-2959683.0183925536	0.29520169202135527	35.46816290892655	4610.370807597393	48.63460360660836
77000	-2925881.1292682537	-2930513.7892077155	4632.659939461909	-2930513.7892077155	0.3088214579519894	35.04066760450852	4632.659939461909	46.04133591967908
78000	-2904832.6768198144	-2909452.5315720765	4619.85475226198	-2909452.5315720765	0.3090685377710727	35.31879131539046	4619.85475226198	46.04133591967908
79000	-2862068.041284285	-2866658.680228345	4590.6389440599605	-2866658.680228345	0.33906684189144654	35.909452276810164	4590.6389440599605	47.80450077680776
80000	-2836374.110324718	-2841049.715092178	4675.604767459762	-2841049.715092178	0.31573064542084756	34.1153804061738	4675.604767459762	46.32756030639619
81000	-2783830.406638054	-2788543.9993831655	4713.592745111155	-2788543.9993831655	0.30364134113755004	33.34321482758769	4713.592745111155	48.25275734876052
82000	-2766975.067202788	-2771692.0989081846	4717.0317053967	-2771692.0989081846	0.29795688620400695	33.27194511214596	4717.0317053967	48.25275734876052
83000	-2747228.002620323	-2751954.3346381825	4726.332017859565	-2751954.3346381825	0.2914694957217588	33.06996608314635	4726.332017859565	50.912744859915065
84000	-2700781.5854929914	-2705524.321067311	4742.735574319617	-2705524.321067311	0.2965396169596797	32.71651874523469	4742.735574319617	47.451193434399684
85000	-2675368.0114977406	-2680130.7479275805	4762.7364298398015	-2680130.7479275805	0.2869547497547541	32.30621654079672	4762.7364298398015	47.72120684528076
86000	-2643102.0466696494	-2647862.9503368977	4760.903667248162	-2647862.9503368977	0.3293033207306592	32.36484626452212	4760.903667248162	48.325002202517766
87000	-2624631.129016329	-2629403.420414086	4772.291397757086	-2629403.420414086	0.2853128165563613	32.16579262114882	4772.291397757086	51.23486315260368
88000	-2598819.2582818517	-2603610.565320601	4791.30703874976	-2603610.565320601	0.2810895709087937	31.779733269281667	4791.30703874976	52.91147563922688
89000	-2583310.3831813256	-2588107.8624707423	4797.479289416801	-2588107.8624707423	0.26716414696789664	31.67432538137392	4797.479289416801	51.28829964929727
90000	-2564767.627416718	-2569555.0466146357	4787.419197918124	-2569555.0466146357	0.2558490057596044	31.836271830524257	4787.419197918124	53.64448691824219
91000	-2545934.7457585866	-2550772.3625088176	4837.616750230983	-2550772.3625088176	0.24294769121467613	30.903585418737514	4837.616750230983	52.34935446640108
92000	-2492168.7192657837	-2497076.726755405	4908.007489621254	-2497076.726755405	0.23059445012973542	29.59852912668917	4908.007489621254	55.474816622808596
93000	-2455495.099670387	-2460397.5892070737	4902.48953668683	-2460397.5892070737	0.23860333117978175	29.683790304920972	4902.48953668683	53.17749972287667
94000	-2415964.53147753	-2420866.7195892516	4902.188111721523	-2420866.7195892516	0.26322207997592606	29.69586095497684	4902.188111721523	56.29683324246875
95000	-2370477.818063617	-2375443.832424984	4966.014361366545	-2375443.832424984	0.22467689565536272	28.562116018203312	4966.014361366545	56.29683324246875
96000	-2356338.837512579	-2361281.8156359107	4942.978123331676	-2361281.8156359107	0.22365897827500425	28.971308448897517	4942.978123331676	56.29683324246875
97000	-2343529.572743782	-2348512.46460745	4982.891863668522	-2348512.46460745	0.21524410041045175	28.261740239196115	4982.891863668522	59.194574534519816
98000	-2327656.2032610844	-2332655.482416998	4999.279155913786	-2332655.482416998	0.2114752136153051	27.975649284259678	4999.279155913786	60.07157309065148
99000	-2319800.4697253765	-2324804.3114095884	5003.841684212012	-2324804.3114095884	0.20998305652366706	27.90155133625249	5003.841684212012	57.019065354744264
100000	-2305270.132837425	-2310279.723813754	5009.590976329207	-2310279.723813754	0.21134726128987988	27.807080432381046	5009.590976329207	57.56807174933143
101000	-2289928.304366986	-2294921.3167213285	4993.012354342786	-2294921.3167213285	0.21268782693168112	28.03648778632796	4993.012354342786	54.46609209915271
102000	-2272604.529999547	-2277620.5324910698	5016.002491522585	-2277620.5324910698	0.2055722231606106	27.70016859521298	5016.002491522585	59.69464027006163
103000	-2257940.3316912823	-2262985.494613278	5045.162921995639	-2262985.494613278	0.2014798117282527	27.20708344467759	5045.162921995639	61.082591576137006
104000	-2242784.838260151	-2247831.4706795234	5046.632419372357	-2247831.4706795234	0.20580992123055472	27.183025896711566	5046.632419372357	61.082591576137006
105000	-2217808.400846663	-2222845.479490544	5037.078643881259	-2222845.479490544	0.2028033155044619	27.334392168766502	5037.078643881259	57.8666613016788
106000	-2198881.342179438	-2203978.1691012657	5096.826921827466	-2203978.1691012657	0.21332747830848894	26.352004667585213	5096.826921827466	63.73367348773698
107000	-2166978.5565797184	-2172108.4433775567	5129.886797838422	-2172108.4433775567	0.22007887789090913	25.834432367275333	5129.886797838422	63.172048859448765
108000	-2151738.1214463036	-2156863.1533657266	5125.0319194230005	-2156863.1533657266	0.21681957684883574	25.908623151370257	5125.0319194230005	63.88674316431567
109000	-2139893.5397503036	-2145033.488016011	5139.948265707609	-2145033.488016011	0.21193664769556775	25.673695785307117	5139.948265707609	64.29627253321155
110000	-2128742.8104230557	-2133885.147269811	5142.336846755125	-2133885.147269811	0.22652055355346473	25.63720621145497	5142.336846755125	63.12422814570566
111000	-2107826.5501015703	-2112982.5096987793	5155.959597209097	-2112982.5096987793	0.2184804801922778	25.39804399069515	5155.959597209097	61.31890086918434
112000	-2086313.0194902848	-2091487.8160582876	5174.796568002821	-2091487.8160582876	0.21130147751911454	25.130179949482002	5174.796568002821	65.84147526271582
113000	-2053706.3398070142	-2058914.8529988984	5208.51319188419	-2058914.8529988984	0.22967400936035998	24.61784601187551	5208.51319188419	65.74705323387302
114000	-2031549.0375991873	-2036761.8846605239	5212.8470613365325	-2036761.8846605239	0.23550341023335492	24.55211247347267	5212.8470613365325	65.7962082629928
115000	-2013985.1004849433	-2019221.2970522828	5236.196567339687	-2019221.2970522828	0.23559505676251302	24.200026691122815	5236.196567339687	68.66141699149792
116000	-1989026.9430210404	-1994292.7185788804	5265.775557840045	-1994292.7185788804	0.232666481168703	23.739729656412084	5265.775557840045	65.33567163619962
117000	-1962040.4948017073	-1967318.167344133	5277.672542425495	-1967318.167344133	0.2322389433345446	23.543840121974604	5277.672542425495	74.00894276544271
118000	-1950374.099088912	-1955634.0639363003	5259.964847388421	-1955634.0639363003	0.3342496559383587	23.817770657964346	5259.964847388421	64.7683000107316
119000	-1928342.6995192922	-1933639.5144033316	5296.814884039376	-1933639.5144033316	0.24600172279446256	23.3168303531762	5296.814884039376	68.60945673891645
120000	-1906227.253451053	-1911529.205139336	5301.951688282797	-1911529.205139336	0.2664775883437326	23.239480401563295	5301.951688282797	68.3178403570911
121000	-1899285.0674195155	-1904608.3513808998	5323.283961384247	-1904608.3513808998	0.2586656588464565	22.940317189326233	5323.283961384247	72.65544526866866
122000	-1868990.4648363276	-1874326.5482720253	5336.083435697823	-1874326.5482720253	0.5618981779104836	22.766376765742315	5336.083435697823	71.59605923462357
123000	-1847336.6861170118	-1852698.6569144544	5361.970797442707	-1852698.6569144544	0.23277028772766092	22.404801533506944	5361.970797442707	71.59605923462357
124000	-1834930.9675053537	-1840279.8116078156	5348.844102461741	-1840279.8116078156	0.23579112273090358	22.58650805786563	5348.844102461741	73.27957180298776
125000	-1818360.8279418438	-1823746.5976401782	5385.769698334424	-1823746.5976401782	0.232160771652273	22.07818741602717	5385.769698334424	72.29686924759217
126000	-1803542.4958189523	-1808931.1462994646	5388.650480512311	-1808931.1462994646	0.2304136611893559	22.04046027842372	5388.650480512311	72.62398997524137
127000	-1781591.0489375507	-1787001.0851903432	5410.036252792509	-1787001.0851903432	0.2240350178886486	21.757132125910253	5410.036252792509	74.84256081318841
128000	-1763151.7035076732	-1768588.5729653947	5436.869457721465	-1768588.5729653947	0.2192473679447719	21.398603440662253	5436.869457721465	74.84256081318841
129000	-1757463.182390199	-1762902.020236832	5438.837846632957	-1762902.020236832	0.21923524390647153	21.375517137099553	5438.837846632957	75.64016171674714
130000	-1750956.9201538635	-1756377.707363985	5420.787210121501	-1756377.707363985	0.21523945478494563	21.603388200849118	5420.787210121501	73.1324368621803
131000	-1734864.0457916672	-1740295.5617389623	5431.515947295135	-1740295.5617389623	0.21182781319662278	21.47190572959861	5431.515947295135	75.39359849037832
132000	-1722660.779828609	-1728146.5736056177	5485.793777008703	-1728146.5736056177	0.20520026779333844	20.761887942730148	5485.793777008703	80.72970052375258
133000	-1710244.2707096685	-1715738.9812018843	5494.710492215783	-1715738.9812018843	0.22008537180904258	20.65128097658409	5494.710492215783	80.7574989910329
134000	-1692715.924385373	-1698244.1087562512	5528.184370878036	-1698244.1087562512	0.199077133552786	20.232383338912616	5528.184370878036	78.93643433384754
135000	-1683435.249918406	-1688961.9611326805	5526.711214274573	-1688961.9611326805	0.19972073060276857	20.249238927753876	5526.711214274573	78.62237404661376
136000	-1665153.904346966	-1670687.306924404	5533.402577438274	-1670687.306924404	0.1964395727523765	20.156290401184876	5533.402577438274	84.17276723081046
137000	-1656496.318474907	-1662035.3684750702	5539.050000163227	-1662035.3684750702	0.19388750662179213	20.101075286335842	5539.050000163227	82.09412698263264
138000	-1627067.8002825244	-1632649.43814029	5581.637857765695	-1632649.43814029	0.19450384059267953	19.584216849441777	5581.637857765695	83.58058756065444
139000	-1598744.6983172693	-1604333.7614045492	5589.063087280023	-1604333.7614045492	0.192926194980866	19.495377685575576	5589.063087280023	83.58058756065444
140000	-1590520.4570326472	-1596128.1383674177	5607.681334770607	-1596128.1383674177	0.19421946463048081	19.268285954717975	5607.681334770607	86.7445809506193
141000	-1580526.9501089547	-1586139.789335709	5612.839226754392	-1586139.789335709	0.19561177745570502	19.21002942944819	5612.839226754392	86.46800090787899
142000	-1560823.8344021684	-1566466.6990307411	5642.864628572828	-1566466.6990307411	0.19766273005853394	18.856775252262228	5642.864628572828	84.32863650232221
143000	-1548722.1636125885	-1554385.7815822512	5663.617969662554	-1554385.7815822512	0.19947228478221962	18.623919023113352	5663.617969662554	88.13038495175573
